TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE
_CDS_Imported_Trades_|Crossing|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|SettlementAmount|char|32|NULL|NULL|YES
_CDS_Imported_Trades_|SettlementDate|char|8|NULL|NULL|YES
_CDS_Imported_Trades_|TradeType|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|Reserved|char|573|NULL|NULL|YES
_CDS_Imported_Trades_|RecordType|char|1|NULL|NULL|YES
_CDS_Imported_Trades_|CDSImport_EIT_|uniqueidentifier|NULL|NULL|NULL|NO
_CDS_Imported_Trades_|Processed|bit|NULL|NULL|NULL|NO
_CDS_Imported_Trades_|CDSImport_DPA_|int|NULL|10|0|NO
_CDS_Imported_Trades_|CommissionRate|int|NULL|10|0|YES
_ImportBondsEquitiesTurnover|ImportBondsEquitiesTurnoverID|int|NULL|10|0|NO
_ImportBondsEquitiesTurnover|ImportDate|datetime|NULL|NULL|NULL|NO
_ImportBondsEquitiesTurnover|Bonds|varchar|50|NULL|NULL|YES
_ImportBondsEquitiesTurnover|Equities|varchar|50|NULL|NULL|YES
_ImportBondsEquitiesTurnover|Deleted|int|NULL|10|0|NO
_ImportPriceList|ID|int|NULL|10|0|NO
_ImportPriceList|SecKnow_DPA_|int|NULL|10|0|YES
_ImportPriceList|SecName|varchar|200|NULL|NULL|YES
_ImportPriceList|price|varchar|50|NULL|NULL|YES
_ImportPriceList|importdate|datetime|NULL|NULL|NULL|YES
_ImportPriceList|processed|bit|NULL|NULL|NULL|YES
_Initial_Table_ID_|InitialTableID_DPA_|int|NULL|10|0|NO
_Initial_Table_ID_|InitialTableID_EIT_|nvarchar|40|NULL|NULL|YES
_Initial_Table_ID_|TableName|nvarchar|4000|NULL|NULL|NO
_Initial_Table_ID_|InitialID|int|NULL|10|0|NO
_Parent_Child_Links_|Child|nvarchar|200|NULL|NULL|NO
_Parent_Child_Links_|ChildType|int|NULL|10|0|NO
_Parent_Child_Links_|DeletionMessage|nvarchar|200|NULL|NULL|NO
_Parent_Child_Links_|Parent|nvarchar|200|NULL|NULL|NO
_Parent_Child_Links_|ParentKey|nvarchar|200|NULL|NULL|NO
_Parent_Child_Links_|Link_DPA_|int|NULL|10|0|NO
_Record_Locks_|Lock_DPA_|int|NULL|10|0|NO
_Record_Locks_|LockID|nvarchar|40|NULL|NULL|NO
_Record_Locks_|LockTime|int|NULL|10|0|NO
_Record_Locks_|RecordID|nvarchar|40|NULL|NULL|NO
_Record_Locks_|TableName|nvarchar|200|NULL|NULL|NO
_Record_Locks_|UserID|nvarchar|40|NULL|NULL|NO
_ReportsParameters_|ReportsParam_DPA_|int|NULL|10|0|NO
_ReportsParameters_|ReportsParam_EIT_|nvarchar|40|NULL|NULL|YES
_ReportsParameters_|ReportsMenuID|int|NULL|10|0|NO
_ReportsParameters_|ReportsParamCode|nvarchar|500|NULL|NULL|NO
_ReportsParameters_|ReportsParamName|nvarchar|100|NULL|NULL|NO
_ReportsParameters_|ReportsParamType|int|NULL|10|0|NO
AA_Inst_Comm_Report|Contract_DPA_|int|NULL|10|0|NO
AA_Inst_Comm_Report|Country|varchar|6|NULL|NULL|NO
AA_Inst_Comm_Report|Broker|varchar|34|NULL|NULL|NO
AA_Inst_Comm_Report|InstitutionName|nvarchar|50|NULL|NULL|YES
AA_Inst_Comm_Report|ClientName|nvarchar|100|NULL|NULL|NO
AA_Inst_Comm_Report|ResidencyDescription|nvarchar|100|NULL|NULL|NO
AA_Inst_Comm_Report|BrokerComm|money|NULL|19|4|YES
AA_Inst_Comm_Report|AgentComm|money|NULL|19|4|YES
AA_Inst_Comm_Report|NetComm|money|NULL|19|4|YES
AA_Inst_Comm_Report|LotTDate|datetime|NULL|NULL|NULL|NO
AA_Inst_Comm_Report|LotQty|int|NULL|10|0|NO
AA_Inst_Comm_Report|LotPrice|money|NULL|19|4|NO
AA_Inst_Comm_Report|LotGrossAmount|money|NULL|19|4|YES
AA_Inst_Comm_Report|SecurityName|nvarchar|100|NULL|NULL|NO
AA_View_Comm_By_Client|Country|varchar|6|NULL|NULL|NO
AA_View_Comm_By_Client|InstitutionName|nvarchar|50|NULL|NULL|YES
AA_View_Comm_By_Client|ResidencyDescription|nvarchar|100|NULL|NULL|NO
AA_View_Comm_By_Client|BrokerComm|money|NULL|19|4|YES
AA_View_Comm_By_Client|AgentComm|money|NULL|19|4|YES
AA_View_Comm_By_Client|NetComm|money|NULL|19|4|YES
AA_View_Comm_By_Client|LotTDate|datetime|NULL|NULL|NULL|NO
AA_View_Comm_By_Institution|Country|varchar|6|NULL|NULL|NO
AA_View_Comm_By_Institution|InstitutionName|nvarchar|50|NULL|NULL|YES
AA_View_Comm_By_Institution|ResidencyDescription|nvarchar|100|NULL|NULL|NO
AA_View_Comm_By_Institution|BrokerComm|money|NULL|19|4|YES
AA_View_Comm_By_Institution|AgentComm|money|NULL|19|4|YES
AA_View_Comm_By_Institution|NetComm|money|NULL|19|4|YES
AA_View_Comm_By_Institution|LotTDate|datetime|NULL|NULL|NULL|NO
AACommisionReportDaily|TransDate|datetime|NULL|NULL|NULL|YES
AACommisionReportDaily|Gross|money|NULL|19|4|YES
AACommisionReportDaily|Commission|money|NULL|19|4|YES
AACommisionReportDaily|NetCommission|money|NULL|19|4|YES
AACommissionReport|TransDate|datetime|NULL|NULL|NULL|YES
AACommissionReport|Gross|money|NULL|19|4|YES
AACommissionReport|Commission|money|NULL|19|4|YES
AACommissionReport|SystemMaintained|int|NULL|10|0|YES
AACommissionReport|LevyShortName|nvarchar|50|NULL|NULL|YES
AALeviesReport|Contract_DPA_|int|NULL|10|0|NO
AALeviesReport|ContractTransferNo|nvarchar|20|NULL|NULL|YES
AALeviesReport|ContractDeliveryDate|smalldatetime|NULL|NULL|NULL|YES
AALeviesReport|Lot_DPA_|int|NULL|10|0|NO
AALeviesReport|LotSlipNo|nvarchar|20|NULL|NULL|NO
AALeviesReport|TransDate|datetime|NULL|NULL|NULL|YES
AALeviesReport|LotQty|int|NULL|10|0|NO
AALeviesReport|LotPrice|money|NULL|19|4|YES
AALeviesReport|ContractNumber|nvarchar|50|NULL|NULL|NO
AALeviesReport|ContractDelivered|bit|NULL|NULL|NULL|NO
AALeviesReport|ContractNCertificate|nvarchar|20|NULL|NULL|YES
AALeviesReport|ContractNCDate|smalldatetime|NULL|NULL|NULL|YES
AALeviesReport|ContractNCDelivered|bit|NULL|NULL|NULL|NO
AALeviesReport|Voucher_DPA_|int|NULL|10|0|YES
AALeviesReport|ContractVouchered|bit|NULL|NULL|NULL|NO
AALeviesReport|LevyAmount|money|NULL|19|4|NO
AALeviesReport|LevyName|nvarchar|100|NULL|NULL|NO
AALeviesReport|OrdDetailType|int|NULL|10|0|NO
AALeviesReport|BrokerCode|nvarchar|5|NULL|NULL|NO
AALeviesReport|OrdDetailClient|nvarchar|100|NULL|NULL|NO
AALeviesReport|OrdDetailSecurity|nvarchar|100|NULL|NULL|NO
AALeviesReport|OrdDetailSecType|int|NULL|10|0|NO
AALeviesReport|SecurityCode|nvarchar|50|NULL|NULL|NO
AALeviesReport|SystemMaintained|int|NULL|10|0|YES
AALeviesReport|LevyShortName|nvarchar|50|NULL|NULL|YES
Account|Account_DPA_|int|NULL|10|0|NO
Account|AccountTypeLevel1|int|NULL|10|0|NO
Account|AccountTypeLevel2|int|NULL|10|0|YES
Account|AccountTypeLevel3|int|NULL|10|0|YES
Account|AccountName|nvarchar|100|NULL|NULL|NO
Account|AccountCode|nvarchar|50|NULL|NULL|NO
Account|Account_EIT_|nvarchar|40|NULL|NULL|YES
Account|EntityType_DPA_|int|NULL|10|0|NO
Account|AccountOpeningBal|money|NULL|19|4|NO
Account|AccountOpeningDate|datetime|NULL|NULL|NULL|NO
Account|SystemMaintained|bit|NULL|NULL|NULL|NO
Account|ReconStartDate|datetime|NULL|NULL|NULL|NO
Account|ReconOpeningBal|float|NULL|53|NULL|NO
AccountEntityList|EntityName|nvarchar|100|NULL|NULL|NO
AccountEntityList|EntityType|nvarchar|100|NULL|NULL|NO
AccountEntityList|Entity_DPA_|int|NULL|10|0|NO
AccountEntityList|EntityType_DPA_|int|NULL|10|0|NO
AccountEntityList|EntityCode|nvarchar|50|NULL|NULL|NO
AccountEntityList|EntityNameEx|nvarchar|4000|NULL|NULL|YES
AccountImport|ID|nvarchar|255|NULL|NULL|YES
AccountImport|NAME|nvarchar|255|NULL|NULL|YES
AccountImport|Balance|float|NULL|53|NULL|YES
AccountList|AccountCode|nvarchar|50|NULL|NULL|NO
AccountList|AccountName|nvarchar|100|NULL|NULL|NO
AccountList|AccountTypeLevel1|nvarchar|100|NULL|NULL|NO
AccountList|AccountTypeLevel2|nvarchar|100|NULL|NULL|YES
AccountList|AccountTypeLevel3|nvarchar|100|NULL|NULL|YES
AccountList|Account_DPA_|int|NULL|10|0|NO
AccountList|AccountTypeLevel1_DPA_|int|NULL|10|0|NO
AccountManagerCreditors|Balance|money|NULL|19|4|YES
AccountManagerCreditors|Client_DPA_|int|NULL|10|0|NO
AccountManagerCreditors|LastDate|datetime|NULL|NULL|NULL|YES
AccountManagerCreditors|Owner_DPA_|int|NULL|10|0|YES
AccountManagerCreditors|ClientName|nvarchar|100|NULL|NULL|NO
AccountManagerDebtors|Balance|money|NULL|19|4|YES
AccountManagerDebtors|Client_DPA_|int|NULL|10|0|NO
AccountManagerDebtors|LastDate|datetime|NULL|NULL|NULL|YES
AccountManagerDebtors|ClientName|nvarchar|100|NULL|NULL|NO
AccountManagerDebtors|Owner_DPA_|int|NULL|10|0|YES
AccountManagerTotals|Account Manager Code|int|NULL|10|0|NO
AccountManagerTotals|Account Manager|nvarchar|201|NULL|NULL|NO
AccountManagerTotals|Volume|int|NULL|10|0|YES
AccountManagerTotals|Commission|money|NULL|19|4|YES
AccountType|AccountType_DPA_|int|NULL|10|0|NO
AccountType|AccountTypeName|nvarchar|100|NULL|NULL|NO
AccountType|AccountType_EIT_|nvarchar|40|NULL|NULL|YES
AccountType|DefaultSelection|bit|NULL|NULL|NULL|NO
AccountType|AccountTypeParent|int|NULL|10|0|YES
AccountType|Quarter1|money|NULL|19|4|YES
AccountType|Quarter2|money|NULL|19|4|YES
AccountType|Quarter3|money|NULL|19|4|YES
AccountType|Quarter4|money|NULL|19|4|YES
AccountTypeLevel1|AccountTypeName|nvarchar|100|NULL|NULL|NO
AccountTypeLevel1|AccountType_DPA_|int|NULL|10|0|NO
AccountTypeLevel1|DefaultSelection|bit|NULL|NULL|NULL|NO
AccountTypeLevel1|AccountTypeParent|int|NULL|10|0|YES
AccountTypeLevel2|AccountType_DPA_|int|NULL|10|0|NO
AccountTypeLevel2|AccountTypeName|nvarchar|100|NULL|NULL|NO
AccountTypeLevel2|DefaultSelection|bit|NULL|NULL|NULL|NO
AccountTypeLevel2|AccountTypeParent|int|NULL|10|0|YES
AccountTypeLevel2|Quarter1|money|NULL|19|4|NO
AccountTypeLevel2|Quarter2|money|NULL|19|4|NO
AccountTypeLevel2|Quarter3|money|NULL|19|4|NO
AccountTypeLevel2|Quarter4|money|NULL|19|4|NO
AccountTypeLevel3|AccountType_DPA_|int|NULL|10|0|NO
AccountTypeLevel3|AccountTypeName|nvarchar|100|NULL|NULL|NO
AccountTypeLevel3|DefaultSelection|bit|NULL|NULL|NULL|NO
AccountTypeLevel3|AccountTypeParent|int|NULL|10|0|YES
AccountTypeList|AccountType_DPA_|int|NULL|10|0|NO
AccountTypeList|AccountTypeParent|nvarchar|100|NULL|NULL|NO
AccountTypeList|AccountTypeLevel|varchar|6|NULL|NULL|NO
AccountTypeList|AccountTypeSetting|nvarchar|100|NULL|NULL|NO
AccountTypeList|AccountTypeLevel_DPA_|int|NULL|10|0|NO
ActivatedClientList|ClientNameEx|nvarchar|4000|NULL|NULL|YES
ActivatedClientList|ClientName|nvarchar|100|NULL|NULL|YES
ActivatedClientList|OwnerName|nvarchar|201|NULL|NULL|YES
ActivatedClientList|ClientContact|nvarchar|100|NULL|NULL|YES
ActivatedClientList|ClientOfficeTel|nvarchar|100|NULL|NULL|YES
ActivatedClientList|ClientCellTel|nvarchar|100|NULL|NULL|YES
ActivatedClientList|ClientEmail|nvarchar|100|NULL|NULL|YES
ActivatedClientList|ClientAddr|ntext|1073741823|NULL|NULL|YES
ActivatedClientList|ClientVIP|bit|NULL|NULL|NULL|NO
ActivatedClientList|Client_DPA_|int|NULL|10|0|NO
ActivatedClientList|ClientCDSNo|nvarchar|20|NULL|NULL|YES
ActivatedClientList|OnlineRegistration|bit|NULL|NULL|NULL|NO
ActivatedClientList|CreditLimit|money|NULL|19|4|NO
ActivatedClientList|ClientFax|nvarchar|100|NULL|NULL|YES
ActivatedClientList|Owner_DPA_|int|NULL|10|0|YES
ActivatedClientList|Agent_DPA_|int|NULL|10|0|YES
ActivatedClientList|AgentName|nvarchar|100|NULL|NULL|YES
ActivatedClientList|TimeChanged|datetime|NULL|NULL|NULL|YES
ActivatedClientList|ChangedBy|nvarchar|102|NULL|NULL|YES
ActivatedClientList|IsCustodian|bit|NULL|NULL|NULL|YES
ActivatedClientList|Commission_DPA_|int|NULL|10|0|NO
Activity|Activity_DPA_|int|NULL|10|0|NO
Activity|Activity_EIT_|nvarchar|40|NULL|NULL|YES
Activity|ActivityDate|smalldatetime|NULL|NULL|NULL|NO
Activity|ActivityNotes|nvarchar|255|NULL|NULL|YES
Activity|ActvtyClass_DPA_|int|NULL|10|0|NO
Activity|Client_DPA_|int|NULL|10|0|NO
Activity|ChangedBy|int|NULL|10|0|YES
Activity|TimeChanged|datetime|NULL|NULL|NULL|YES
Activity|Deleted|int|NULL|10|0|YES
ActivityList|ClientName|nvarchar|100|NULL|NULL|NO
ActivityList|ActivityName|nvarchar|100|NULL|NULL|NO
ActivityList|ActivityDate|datetime|NULL|NULL|NULL|YES
ActivityList|Activity_DPA_|int|NULL|10|0|NO
ActivityList|Client_DPA_|int|NULL|10|0|NO
ActivityList|Notes|nvarchar|255|NULL|NULL|YES
ActivityList|UserName|nvarchar|50|NULL|NULL|YES
ActivityList|TimeChanged|datetime|NULL|NULL|NULL|YES
ActivityList|Deleted|int|NULL|10|0|YES
ActvtyClass|ActvtyClass_DPA_|int|NULL|10|0|NO
ActvtyClass|ActvtyClass_EIT_|nvarchar|40|NULL|NULL|YES
ActvtyClass|ActvtyClassDescription|nvarchar|100|NULL|NULL|NO
ActvtyClass|ClientAccess|bit|NULL|NULL|NULL|YES
ActvtyClassList|ActvtyClassDescription|nvarchar|100|NULL|NULL|NO
ActvtyClassList|ActvtyClass_DPA_|int|NULL|10|0|NO
ActvtyClassList|ClientAccess|bit|NULL|NULL|NULL|YES
Agent|Agent_DPA_|int|NULL|10|0|NO
Agent|Agent_EIT_|nvarchar|40|NULL|NULL|YES
Agent|AgentAddr|ntext|1073741823|NULL|NULL|YES
Agent|AgentBDate|smalldatetime|NULL|NULL|NULL|YES
Agent|AgentCellTel|nvarchar|100|NULL|NULL|YES
Agent|AgentContact|nvarchar|100|NULL|NULL|YES
Agent|AgentEmail|nvarchar|100|NULL|NULL|YES
Agent|AgentFax|nvarchar|100|NULL|NULL|YES
Agent|AgentHomeTel|nvarchar|100|NULL|NULL|YES
Agent|AgentIDPass|nvarchar|100|NULL|NULL|YES
Agent|AgentName|nvarchar|100|NULL|NULL|NO
Agent|AgentOfficeTel|nvarchar|100|NULL|NULL|YES
Agent|AgentPhoto|nvarchar|100|NULL|NULL|YES
Agent|AgentSignature|nvarchar|100|NULL|NULL|YES
Agent|Branch_DPA_|int|NULL|10|0|NO
Agent|Commission_DPA_|int|NULL|10|0|NO
Agent|Gender_DPA_|int|NULL|10|0|YES
Agent|Residency_DPA_|int|NULL|10|0|NO
Agent|DefaultSelection|bit|NULL|NULL|NULL|NO
Agent|EntityType_DPA_|int|NULL|10|0|NO
Agent|AgentOpeningBal|money|NULL|19|4|NO
Agent|AgentRegDate|datetime|NULL|NULL|NULL|NO
Agent|GenericSetting_DPA_|int|NULL|10|0|YES
Agent|GenericSetting_DPA_2|int|NULL|10|0|YES
Agent|GenericSetting_DPA_3|int|NULL|10|0|YES
Agent|ChangedBy|int|NULL|10|0|NO
Agent|TimeChanged|smalldatetime|NULL|NULL|NULL|NO
Agent|Deleted|bit|NULL|NULL|NULL|NO
AgentBalanceList|Agent|nvarchar|100|NULL|NULL|NO
AgentBalanceList|CurrentBal|money|NULL|19|4|YES
AgentBalanceList|TransDate|datetime|NULL|NULL|NULL|YES
AgentCommissionList|SecurityName|nvarchar|164|NULL|NULL|YES
AgentCommissionList|ContractNumber|nvarchar|50|NULL|NULL|NO
AgentCommissionList|LotTDate|datetime|NULL|NULL|NULL|NO
AgentCommissionList|Agent_DPA_|int|NULL|10|0|NO
AgentCommissionList|Gross|money|NULL|19|4|YES
AgentCommissionList|AgentCommission|money|NULL|19|4|YES
AgentCommissionList1|SecurityName|nvarchar|74|NULL|NULL|YES
AgentCommissionList1|ContractNumber|nvarchar|50|NULL|NULL|NO
AgentCommissionList1|LotTDate|datetime|NULL|NULL|NULL|NO
AgentCommissionList1|Agent_DPA_|int|NULL|10|0|NO
AgentCommissionList1|Gross|money|NULL|19|4|YES
AgentCommissionList1|AgentCommission|money|NULL|19|4|YES
AgentCommissions|ContractNumber|nvarchar|50|NULL|NULL|NO
AgentCommissions|LotTDate|datetime|NULL|NULL|NULL|YES
AgentCommissions|Client_DPA_|int|NULL|10|0|NO
AgentCommissions|OrderTypeSale|bit|NULL|NULL|NULL|NO
AgentCommissions|LevyAmount|money|NULL|19|4|NO
AgentCommissions|SecurityName|nvarchar|74|NULL|NULL|YES
AgentCommissions|PaymentReceiptNo|int|NULL|10|0|YES
AgentCommissions|Contract_DPA_|int|NULL|10|0|NO
AgentCommissions|AgentName|nvarchar|100|NULL|NULL|NO
AgentCommissions|Agent_DPA_|int|NULL|10|0|NO
AgentCommissions|ClientName|nvarchar|100|NULL|NULL|NO
AgentCommissions|LotGrossAmount|money|NULL|19|4|YES
AgentCommissionTotal|Contract_DPA_|int|NULL|10|0|NO
AgentCommissionTotal|LevyTotal|money|NULL|19|4|YES
AgentContractCompounded|Contract_DPA_|int|NULL|10|0|NO
AgentContractCompounded|Lot_DPA_|int|NULL|10|0|YES
AgentContractCompounded|BrokerCode|nvarchar|5|NULL|NULL|YES
AgentContractCompounded|OrdDetailSecType|nvarchar|20|NULL|NULL|NO
AgentContractCompounded|OrdDetailType|nvarchar|100|NULL|NULL|NO
AgentContractCompounded|OrderTypeSale|tinyint|NULL|3|0|NO
AgentContractCompounded|LotSlipNo|nvarchar|20|NULL|NULL|YES
AgentContractCompounded|LotTDate|datetime|NULL|NULL|NULL|YES
AgentContractCompounded|LotQty|int|NULL|10|0|YES
AgentContractCompounded|LotPrice|money|NULL|19|4|YES
AgentContractCompounded|ContractNumber|nvarchar|50|NULL|NULL|YES
AgentContractCompounded|OrdDetailClient|nvarchar|100|NULL|NULL|NO
AgentContractCompounded|OrdDetailSecurity|nvarchar|121|NULL|NULL|NO
AgentContractCompounded|LevyAmount|money|NULL|19|4|NO
AgentContractCompounded|LevyName|nvarchar|100|NULL|NULL|NO
AgentContractCompounded|OrderRef|nvarchar|100|NULL|NULL|NO
AgentContractCompounded|ClientAddr|ntext|1073741823|NULL|NULL|YES
AgentContractCompounded|GrossAmount|money|NULL|19|4|YES
AgentContractCompounded|Order_DPA_|int|NULL|10|0|NO
AgentContractCompounded|SystemMaintained|int|NULL|10|0|YES
AgentContractCompounded|LevyRatePercentage|varchar|1|NULL|NULL|NO
AgentContractCompounded|LevyShortName|nvarchar|50|NULL|NULL|YES
AgentContractCompounded|Agent_DPA_|int|NULL|10|0|NO
AgentContractCompounded|AgentName|nvarchar|100|NULL|NULL|NO
AgentContractCompounded|AgentAddr|nvarchar|30|NULL|NULL|YES
AgentContractCompounded|Client_DPA_|int|NULL|10|0|NO
AgentContractCompounded|ClientCDSNo|nvarchar|20|NULL|NULL|YES
AgentContractCompounded|OrdDetail_DPA_|int|NULL|10|0|NO
AgentContractCompounded|LevyVATAmount|money|NULL|19|4|NO
AgentContractCompounded|ContractSettlementDate|smalldatetime|NULL|NULL|NULL|YES
AgentContracts|Contract_DPA_|int|NULL|10|0|NO
AgentContracts|ContractTransferNo|nvarchar|20|NULL|NULL|YES
AgentContracts|ContractDeliveryDate|smalldatetime|NULL|NULL|NULL|YES
AgentContracts|Lot_DPA_|int|NULL|10|0|YES
AgentContracts|BrokerCode|nvarchar|5|NULL|NULL|YES
AgentContracts|OrdDetailSecType|nvarchar|20|NULL|NULL|NO
AgentContracts|OrdDetailType|nvarchar|100|NULL|NULL|NO
AgentContracts|OrderTypeSale|tinyint|NULL|3|0|NO
AgentContracts|LotSlipNo|nvarchar|20|NULL|NULL|YES
AgentContracts|LotTDate|datetime|NULL|NULL|NULL|YES
AgentContracts|LotQty|int|NULL|10|0|YES
AgentContracts|LotPrice|money|NULL|19|4|YES
AgentContracts|LotGrossAmount|money|NULL|19|4|YES
AgentContracts|ContractNumber|nvarchar|50|NULL|NULL|YES
AgentContracts|StatusDescription|nvarchar|10|NULL|NULL|YES
AgentContracts|OrdDetailClient|nvarchar|100|NULL|NULL|NO
AgentContracts|ContractDelivered|bit|NULL|NULL|NULL|NO
AgentContracts|OrdDetailSecurity|nvarchar|121|NULL|NULL|NO
AgentContracts|ContractNCertificate|nvarchar|20|NULL|NULL|YES
AgentContracts|ContractNCDate|smalldatetime|NULL|NULL|NULL|YES
AgentContracts|ContractNCDelivered|bit|NULL|NULL|NULL|NO
AgentContracts|Voucher_DPA_|int|NULL|10|0|YES
AgentContracts|ContractVouchered|bit|NULL|NULL|NULL|NO
AgentContracts|LevyAmount|money|NULL|19|4|NO
AgentContracts|LevyName|nvarchar|100|NULL|NULL|NO
AgentContracts|SystemMaintained|int|NULL|10|0|YES
AgentContracts|LevyRatePercentage|nvarchar|50|NULL|NULL|YES
AgentContracts|LevyShortName|nvarchar|50|NULL|NULL|YES
AgentContracts|Agent_DPA_|int|NULL|10|0|NO
AgentContracts|AgentName|nvarchar|100|NULL|NULL|NO
AgentContracts|AgentAddr|ntext|1073741823|NULL|NULL|YES
AgentContracts|CommissionDescription|nvarchar|100|NULL|NULL|YES
AgentContracts|MinimumSecurityCommission|money|NULL|19|4|NO
AgentContracts|LevyVATAmount|money|NULL|19|4|NO
AgentContracts|ContractSettlementDate|smalldatetime|NULL|NULL|NULL|YES
AgentCreditors|Agent|int|NULL|10|0|YES
AgentCreditors|Client_DPA_|int|NULL|10|0|NO
AgentCreditors|LastDate|datetime|NULL|NULL|NULL|YES
AgentCreditors|Balance|money|NULL|19|4|YES
AgentCreditors|ClientName|nvarchar|100|NULL|NULL|NO
AgentDebtors|Agent|int|NULL|10|0|YES
AgentDebtors|Client_DPA_|int|NULL|10|0|NO
AgentDebtors|LastDate|datetime|NULL|NULL|NULL|YES
AgentDebtors|Balance|money|NULL|19|4|YES
AgentDebtors|ClientName|nvarchar|100|NULL|NULL|NO
AgentEntityList|EntityName|nvarchar|100|NULL|NULL|NO
AgentEntityList|EntityType|nvarchar|100|NULL|NULL|NO
AgentEntityList|Entity_DPA_|int|NULL|10|0|NO
AgentEntityList|EntityType_DPA_|int|NULL|10|0|NO
AgentEntityList|EntityCode|nvarchar|4000|NULL|NULL|YES
AgentEntityList|EntityNameEx|nvarchar|4000|NULL|NULL|YES
AgentList|AgentName|nvarchar|100|NULL|NULL|NO
AgentList|AgentContact|nvarchar|100|NULL|NULL|YES
AgentList|AgentOfficeTel|nvarchar|100|NULL|NULL|YES
AgentList|AgentCellTel|nvarchar|100|NULL|NULL|YES
AgentList|AgentEmail|nvarchar|100|NULL|NULL|YES
AgentList|AgentAddr|nvarchar|4000|NULL|NULL|YES
AgentList|Agent_DPA_|int|NULL|10|0|NO
AgentList|DefaultSelection|bit|NULL|NULL|NULL|NO
AgentList|AgentCommission|real|NULL|24|NULL|NO
AgentList|TimeChanged|datetime|NULL|NULL|NULL|YES
AgentList|ChangedBy|nvarchar|102|NULL|NULL|YES
AgentRCommissionList|Commission|real|NULL|24|NULL|NO
AgentRCommissionList|Client_DPA_|int|NULL|10|0|NO
AgentRCommissionList|AgentStatus|bit|NULL|NULL|NULL|NO
AgentRCommissionList|Agent_DPA_|int|NULL|10|0|NO
AgentRCommissionList|Commission_DPA_|int|NULL|10|0|NO
AgentReport|Agent|nvarchar|100|NULL|NULL|NO
AgentReport|Contact|nvarchar|100|NULL|NULL|YES
AgentReport|Office Phone|nvarchar|100|NULL|NULL|YES
